"Message ID";"Date";"Auteur";"Detecteur";"Run";"Faisceau";"Energie";"Seuil0";"Seuil1";"Evenements";"Absorbeur";"HV";"Gaz";"PositionX";"OK"
24991;Fri  30 Sep 2016 18:54:17 +0200;"COCO L'ASTICOT";"GIFPP_OYONAX_8";"733554";"D INDICE";"DIESEL";;;"12089";;;;;
24990;Fri  30 Sep 2016 18:49:52 +0200;"COCO L'ASTICOT";"GIFPP_OYONAX_8";"733553";"D INDICE";"DIESEL";;;"2179";;;;;
24989;Fri  30 Sep 2016 18:37:19 +0200;"COCO L'ASTICOT";"GIFPP_OYONAX_8";"733552";"D INDICE";"DIESEL";;;"0";;;;;
24988;Fri  30 Sep 2016 18:29:36 +0200;"COCO L'ASTICOT";"GIFPP_OYONAX_8";"733551";"D INDICE";"DIESEL";;;"0";;;;;
24987;Fri  30 Sep 2016 18:19:25 +0200;"COCO L'ASTICOT";"GIFPP_OYONAX_8";"733550";"D INDICE";"DIESEL";;;"0";;;;;
24986;Fri  30 Sep 2016 15:41:30 +0200;"COCO L'ASTICOT";"GIFPP_OYONAX_8";"733548";"D INDICE";"DIESEL";;;"0";;;;;
24985;Fri  30 Sep 2016 15:34:38 +0200;"COCO L'ASTICOT";"GIFPP_OYONAX_8";"733547";"D INDICE";"DIESEL";;;"0";;;;;
24984;Fri  30 Sep 2016 15:32:20 +0200;"COCO L'ASTICOT";"GIFPP_OYONAX_8";"733546";"D INDICE";"DIESEL";;;"0";;;;;
24983;Fri  30 Sep 2016 15:28:43 +0200;"COCO L'ASTICOT";"GIFPP_OYONAX_8";"733545";"D INDICE";"DIESEL";;;"0";;;;;
24982;Fri  30 Sep 2016 15:08:43 +0200;"COCO L'ASTICOT";"GIFPP_OYONAX_8";"733543";"D INDICE";"DIESEL";;;"0";;;;;
24981;Fri  30 Sep 2016 14:55:36 +0200;"COCO L'ASTICOT";"GIFPP_OYONAX_8";"733542";"D INDICE";"DIESEL";;;"0";;;;;
24980;Fri  30 Sep 2016 14:49:58 +0200;"COCO L'ASTICOT";"GIFPP_OYONAX_8";"733541";"D INDICE";"DIESEL";;;"133";;;;;
24979;Fri  30 Sep 2016 14:33:45 +0200;"Laurent";"tricos_11";"733540";"COSMIC";"DIESEL";;;"started";;;;;
24978;Fri  30 Sep 2016 13:13:57 +0200;"COCO L'ASTICOT";"GIFPP_OYONAX_8";"733538";"D INDICE";"DIESEL";;;"0";;;;;
24977;Fri  30 Sep 2016 13:09:02 +0200;"COCO L'ASTICOT";"GIFPP_OYONAX_8";"733537";"D INDICE";"DIESEL";;;"0";;;;;
24976;Fri  30 Sep 2016 13:02:18 +0200;"COCO L'ASTICOT";"GIFPP_OYONAX_8";"733536";"D INDICE";"DIESEL";;;"0";;;;;
24975;Fri  30 Sep 2016 12:53:59 +0200;"COCO L'ASTICOT";"GIFPP_OYONAX_8";"733535";"D INDICE";"DIESEL";;;"started";;;;;
24974;Fri  30 Sep 2016 01:05:49 +0200;"COCO L'ASTICOT";"GIFPP_OYONAX_8";"733532";"D INDICE";"DIESEL";;;"started";;;;;
24973;Fri  30 Sep 2016 00:46:32 +0200;"COCO L'ASTICOT";"GIFPP_OYONAX_8";"733531";"D INDICE";"DIESEL";;;"1247";;;;;
24972;Fri  30 Sep 2016 00:00:49 +0200;"COCO L'ASTICOT";"GIFPP_OYONAX_8";"733530";"D INDICE";"DIESEL";;;"0";;;;;
24971;Thu  29 Sep 2016 23:36:00 +0200;"COCO L'ASTICOT";"GIFPP_OYONAX_8";"733529";"D INDICE";"DIESEL";;;"started";;;;;
24970;Thu  29 Sep 2016 22:56:40 +0200;"COCO L'ASTICOT";"GIFPP_OYONAX_8";"733528";"D INDICE";"DIESEL";;;"0";;;;;
24969;Thu  29 Sep 2016 22:50:11 +0200;"COCO L'ASTICOT";"GIFPP_OYONAX_8";"733527";"D INDICE";"DIESEL";;;"0";;;;;
24968;Thu  29 Sep 2016 22:46:53 +0200;"COCO L'ASTICOT";"GIFPP_OYONAX_8";"733526";"D INDICE";"DIESEL";;;"0";;;;;
24967;Thu  29 Sep 2016 22:41:05 +0200;"COCO L'ASTICOT";"GIFPP_OYONAX_8";"733525";"D INDICE";"DIESEL";;;"919";;;;;
24966;Thu  29 Sep 2016 22:38:34 +0200;"COCO L'ASTICOT";"GIFPP_OYONAX_8";"733524";"D INDICE";"DIESEL";;;"376";;;;;
24965;Thu  29 Sep 2016 22:34:04 +0200;"COCO L'ASTICOT";"GIFPP_OYONAX_8";"733523";"D INDICE";"DIESEL";;;"811";;;;;
24964;Thu  29 Sep 2016 22:25:41 +0200;"COCO L'ASTICOT";"GIFPP_OYONAX_8";"733522";"D INDICE";"DIESEL";;;"921";;;;;
24963;Thu  29 Sep 2016 22:20:02 +0200;"COCO L'ASTICOT";"GIFPP_OYONAX_8";"733521";"D INDICE";"DIESEL";;;"3523";;;;;
24962;Thu  29 Sep 2016 22:12:00 +0200;"COCO L'ASTICOT";"GIFPP_OYONAX_8";"733520";"D INDICE";"DIESEL";;;"5787";;;;;
24961;Thu  29 Sep 2016 19:53:24 +0200;"COCO L'ASTICOT";"GIFPP_OYONAX_8";"733519";"D INDICE";"DIESEL";;;"92052";;;;;
24960;Thu  29 Sep 2016 17:54:23 +0200;"COCO L'ASTICOT";"GIFPP_OYONAX_8";"733518";"D INDICE";"DIESEL";;;"91349";;;;;
